中	a
男人	tlrp
疃	tlrt
境地	tltg
垃	tlth
培土	tlth
垃圾	tltp
境界	tltr
男性	tlxf
培训	tlyp
男孩	tlze
男子	tlzw
栽	tm
思想方法	tmfs
栽	tmgd
栽植	tmmo
栽种	tmpm
坶	tmtd
栽培	tmtl
墙	to
墀	toan
墙	tobh
填料	tobm
坭	tobt
墙角	todu
填充	toes
垅	togd
填补	toia
垲	tojt
填	tokb
埴	toks
填报	tooe
墙壁	took
煮	torh
煮沸	tosg
填写	toth
堀	towo
教研室	toxh
都	tp
圳	tpaa
考虑	tpah
老虎	tpah
教师	tpap
老师	tpap
埏	tpaz
老	tpbh
赤道	tpbh
赫兹	tpbh
老爹	tpbi
老爷	tpbi
老总	tpbk
耄	tpbm
耆	tpbr
教养	tpbs
耋	tpbt
考勤	tpch
老营	tpct
教学	tpdb
老头	tpdd
都市	tpej
教育	tpes
农贸市场	tpet
老年	tpfh
赤	tpgb
赫	tpgb
坻	tpgd
郝	tpge
坍	tpge
坞	tpgh
鸩	tpgn
赭	tpgr
螫	tpgv
赦	tpgw
赧	tpgy
考	tphg
老鼠	tpjg
教练	tpjh
教员	tpkb
老兄	tpke
垧	tpkk
考核	tpme
教材	tpmh
老板	tpmp
考查	tpmr
考验	tpmr
教授	tpoa
老挝	tpoc
教研	tpok
考古	tpok
老手	tpop
垢	tppk
教程	tppm
坂	tppy
畈	tppy
老伴	tprb
都	tpre
教会	tpre
者	tprh
翥	tprl
老人	tprp
老化	tprq
教导	tpsc
老婆	tpsg
老汉	tpsy
老农	tpti
都城	tptv
赤脚	tput
老成	tpvg
赤眉	tpwa
教书	tpwg
教条	tpwh
圾	tpwn
埠	tpwo
老乡	tpww
老实	tpxd
教室	tpxh
老家	tpxh
老少	tpxp
教堂	tpxt
考察	tpxx
赤字	tpxz
教诲	tpyf
考试	tpyh
考证	tpyh
教训	tpyp
赤诚	tpyv
孝	tpzh
教	tpzw
老子	tpzw
坎	tq
畎	tqhd
坎	tqtn
界	tr
坤	trat
坦白	trbp
埋葬	trch
埘	trct
埋藏	trcv
埋头	trdd
幂	trdj
埸	trdp
埝	trdx
冥	treb
堤防	tref
界限	trei
坦率	trew
塌	trgl
界面	trhp
堤	trhr
坦	trht
界线	trje
农作物	trnd
坦克	trok
堤岸	trov
界	trpa
畛	trpp
埋伏	trrq
埋没	trsj
墁	trsy
堤坝	trtb
埋	trtt
堠	trwd
冠冕堂皇	trxb
坦然	trxd
埋怨	trxg
却	ts
却步	tsaa
畴	tsch
去世	tsch
墚	tsdm
却	tseh
埃	tsfd
去年	tsfh
塄	tsft
去	tshd
去路	tska
劫	tslh
盍	tsmh
去掉	tsoa
去向	tspk
埃及	tspw
圯	tstg
封	tt
卦	ttad
戴	ttcd
封	ttch
圭	tthh
封面	tthp
封建	ttie
土地改革	ttjg
封锁	ttjx
封闭	ttmh
封存	ttoa
堵	ttpr
堵住	ttre
农田水利	ttsp
畦	ttth
恚	ttxh
堵塞	ttxh
胃	tu
胃	tuhh
胃口	tuka
胃液	tuse
堋	tuut
军	tv
军舰	tvak
塬	tvbx
军警	tvcd
载荷	tvcr
军营	tvct
城郊	tveb
郓	tveg
城市	tvej
军队	tver
载运	tves
军	tvga
城	tvgd
载	tvgd
军费	tvgp
皲	tvgy
军政	tvha
军火	tvhd
军医	tvhf
城区	tvhi
军区	tvhi
军事	tvhk
城镇	tvjo
军装	tvla
军部	tvlk
坜	tvlt
城门	tvmd
军机	tvmj
军阀	tvmr
军士	tvoh
军属	tvop
载重	tvph
军委	tvpm
军人	tvrp
城里	tvrt
载波	tvsg
城墙	tvto
军用	tvua
军服	tvue
军需	tvuh
军长	tvvp
军民	tvwh
军务	tvwl
军备	tvwt
城乡	tvww
军官	tvxw
块	tw
略带	twca
坟墓	twcr
块	twdt
块儿	twep
畋	twhn
略	twkh
块状	twla
略微	twpr
农民日报	twro
坳	twsl
坟	twtn
略去	twts
思	tx
思虑	txah
坨	txbt
垸	txee
思	txhd
截然不同	txhk
思维	txja
思绪	txjt
思路	txka
思想	txmm
思索	txot
思念	txrd
思潮	txso
思考	txtp
堙	txtt
畹	txxg
培训中心	tykx
与	u
用	ua
鲣	uaat
霍	uadh
用户	uado
用武	uaea
用于	uaeg
鳐	uaft
用以	uagd
用功	uagl
用	uah
用来	uahb
胩	uahd
鲇	uahk
胪	uaho
鲈	uaho
用品	uakk
用具	uaks
用力	ualg
用意	ualr
用尽	uaon
用途	uare
用人	uarp
腓	uass
霏	uass
鲱	uass
用法	uast
用处	uawa
用心	uaxd
用光	uaxh
用语	uayh
脬	uazh
脱	ub
肥料	ubbm
脱粒	ubbm
肥皂	ubbq
脱节	ubcg
脱落	ubcs
肥大	ubdh
肥胖	ubeb
肥效	ubeb
滕	ubed
脱离	ubei
腾	ubem
媵	uben
朕	uber
塍	ubet
肥	ubhg
脱销	ubjx
脱	ubke
胼	ubkh
脱产	ublp
鳞	ubma
膦	ubma
脒	ubmh
脱身	ubop
鳞片	ubpa
脾	ubpo
脾气	ubqp
脱氧	ubqy
脂	ubrh
脱水	ubsg
腺	ubsh
肥沃	ubsp
脂肪	ubuf
鳇	ubwt
腾空	ubxg
鳟	ubyc
膜	uc
肘	uchd
鲽	uchm
腊	uchr
霰	uchw
膜	ucrd
朦	uctn
朦胧	ucuo
腊月	ucup
胸	ud
肽	uddh
胯	udeg
脉	udgn
刖	udhg
胸	udia
胸襟	udim
朐	udkh
胸围	udkh
脉冲	udlk
胸部	udlk
鳊	udoc
脉搏	udoh
脉石	udoh
腌	udrg
雹	udsd
胞	udsh
鲍	udst
胸脯	uduh
胸腔	udux
胸膛	udux
脆	udvg
脆性	udxf
胸怀	udxh
脑	ue
肝	ueah
脑筋	ueau
胶卷	uebe
膀	uebf
鲛	uebi
胶	uebi
膪	uebk
肤色	uedb
朊	ueeh
雩	uegd
肟	uegh
胶皮	uegp
肝炎	uehh
脑	ueia
肮	uejh
膻	uekh
鲸	uekx
服装	uela
脑力	uelg
腾云驾雾	uelu
脑壳	ueoh
胶布	ueoj
肼	uepa
胶片	uepa
服役	uepr
服气	ueqp
肤	uerh
脑袋	uerh
胶合	uerh
胶体	uerm
腋	uern
服从	uerr
服侍	uert
肤浅	uese
脑海	uesf
胶泥	ueso
服用	ueua
肮脏	ueug
肝脏	ueug
臃	uewa
服务	uewl
胲	uewr
服	ueyh
鲰	ueyt
膀子	uezw
脑子	uezw
胜	uf
胙	ufae
霉菌	ufck
胜负	ufdb
胜于	ufeg
霉烂	ufhb
肪	ufhg
腹面	ufhp
腹部	uflk
霉	ufmd
胜利	ufpm
胜任	ufrp
腹	ufrw
鳆	ufrw
鲂	uftg
胜	ufth
肠	ug
霸占	ugah
臁	ugbb
霸道	ugbh
甩	ugh
肛	ughh
肠炎	ughh
鳙	ugio
鳓	uglt
肛门	ugmd
霸权	ugmy
肠	ugpp
鲺	ugpv
腑	ugrc
脏	ugth
霸	ugud
肠子	ugzw
需	uh
雨	uhag
鲆	uhbo
腻	uhed
雨天	uher
胰	uhgr
需求	uhhg
雨衣	uhid
肺	uhjh
膈	uhka
鲡	uhkd
需	uhpa
鲕	uhpa
颥	uhpb
腼	uhph
雨季	uhpm
豚	uhpn
胚	uhrh
雨量	uhrh
鲠	uhri
雨水	uhsg
腈	uhtu
鲭	uhtu
膊	uhuc
脯	uhud
腼腆	uhuk
胚胎	uhus
肫	uhwg
胨	uhwx
需要	uhxn
腻子	uhzw
雪	ui
雪白	uibp
雪花	uicr
鲟	uict
雪	uidh
雪亮	uiek
腱	uiez
鲫	uige
腿	uigz
脎	uihx
雪山	uioa
雪崩	uiou
鲫鱼	uiup
腿脚	uiut
股	uj
霓	ujed
鲵	ujet
肌	ujhg
股东	ujhw
肌肉	ujkr
股份	ujrb
腴	ujrh
肌体	ujrm
股长	ujvp
股票	ujxo
股	ujyh
露	uk
肿	ukah
露	ukak
雪中送炭	ukbo
腆	ukcb
鳢	ukcd
胭	ukdh
露天	uker
肿瘤	ukgl
胴	ukhk
露面	ukhp
酃	ukkd
腭	ukkg
鳄	ukkg
臊	ukkm
脶	ukkr
鲴	ukoh
肭	ukrh
露水	uksg
胭脂	ukub
露出	ukwa
脚踏实地	ukxt
肋	ul
胁	ulbh
脑力劳动	ulce
肋	ulhp
肋骨	ulkw
霎	ulnd
臆	ulrx
霜	um
膝盖	umbw
霸权主义	umed
霜冻	umlh
霖	ummd
霜	ummd
膝	umrd
肢	uo
鲼	uocb
膨大	uodh
膨	uodp
臌	uody
胧	uogd
鱿	uogd
鲒	uohk
霹	uoko
腩	uoko
肢体	uorm
肱	uosh
脲	uosh
脖	uotz
鲔	uout
膨胀	uouv
霹雳	uouv
胸有成竹	uova
鲅	uoyd
肢	uoyh
脖子	uozw
月	up
鱼类	upbm
月色	updb
霾	updt
月刊	upea
月亮	upek
胝	upgd
鲷	upgk
月底	upgp
月	uphg
月初	upid
鱼群	upik
鲧	upjt
月中	upka
鱼肉	upkr
鳅	upmh
稣	upmt
鱼苗	upoc
霆	upoz
鱼种	uppm
胍	uppn
肜	uppp
月份	uprb
鱼池	upsg
月台	upsk
鱼	upwa
月球	upwh
月光	upxh
肷	uqhn
脸	ur
胛	urah
胂	urah
零点	urah
零售	urak
鲲	urbb
脸盆	urbd
零散	urch
鲁莽	urcq
鲋	urct
鲥	urct
脸色	urdb
零	urdd
胆大	urdh
鲶	urdx
脍	ures
腥	urft
鳎	urgl
脸庞	urgo
脸颊	urhb
腧	urhd
胆	urhh
脸	urhh
鲁	urhh
腽	urmh
零碎	uroe
胗	urpp
零星	urrf
胆量	urrh
零件	urrn
脞	urrt
鲳	urrt
胆汁	urso
鳗	ursy
鲤	urtt
胆略	urtw
鲤鱼	urup
鲥鱼	urup
胆敢	urwe
胆小	urxg
胆怯	urxt
鳏	usad
霪	usah
胎儿	usep
霈	ushj
胎	uskh
鲐	uskt
腠	usrd
脚	ut
脚步	utaa
鲮	utbw
雷	utdh
雷达	utdz
肚皮	utgp
脚下	utha
肚	uthh
脓	utih
脚跟	utka
脚趾	utka
雷声	utoh
鳍	utpr
雷电	utrg
脚	utse
鲑	uttt
雷雨	utuh
脚尖	utxd
腮	utxh
鳃	utxt
脚掌	utxt
肚子	utzw
朋	uu
朋	uuhh
鳕	uuit
鹏	uunh
零零碎碎	uuoo
朋友	uuoy
震	uv
震荡	uvcs
震	uven
震动	uves
鳜	uvgq
胀	uvhn
雳	uvld
震惊	uvxe
震憾	uvxv
鲢	uvzt
雾	uw
胫	uwdg
服务态度	uwdg
雯	uwdn
鲦	uwhx
霞	uwhy
服务员	uwkb
胳	uwkh
雾	uwld
脐	uwpa
霁	uwpa
鲚	uwpa
雾气	uwqp
雾滴	uwse
胳膊	uwuh
鲻	uwwt
霞光	uwxh
腰	ux
腰包	uxds
脘	uxee
鲩	uxee
腔	uxgh
胱	uxhe
腚	uxhr
膣	uxht
腰部	uxlk
胺	uxnh
腰	uxnh
膘	uxoh
腙	uxoh
鳔	uxot
膑	uxpb
膛	uxtt
霄	uxud
腕	uxxg
腔调	uxyp
鲜	uy
膳	uybk
鳝	uybk
鲜美	uybw
鲜花	uycr
鳋	uydv
鲜红	uyjg
鲜嫩	uynh
鲜血	uypm
鲜明	uyru
霭	uyrw
鲜艳	uysa
鲜	uyta
出	v
虫	va
顾此失彼	vafp
戚	vahd
虾	vahd
轳	vaho
蹙	vahr
蛳	vapj
虫	vawh
虫害	vaxs
蜉	vazd
虫子	vazw
原	vb
蚍	vbbd
原则	vbbd
原料	vbbm
原著	vbct
厕	vbdp
蜷	vbeg
愿望	vbeg
原告	vbfa
原先	vbfa
原来	vbhb
原煤	vbhc
劂	vbhd
厥	vbhq
原因	vbkd
蜕	vbke
原形	vbkp
原状	vbla
原意	vblr
愿意	vblr
辚	vbma
原棉	vbmb
原本	vbmh
原木	vbmh
蝼	vbmn
原样	vbmy
原始	vbns
原有	vbou
原版	vbpa
原稿	vbpm
蜱	vbpo
厕所	vbpp
蝉	vbro
蜕化	vbrq
原野	vbrt
蚣	vbsd
蜣	vbsg
原油	vbsk
原地	vbtg
蝗虫	vbva
蝗	vbwd
原文	vbwd
原理	vbwr
原	vbxp
愿	vbxx
蝤	vbyd
原谅	vbye
原子	vbzw
蜡	vc
蠖	vcay
蚶	vced
蟥	vchb
蝶	vchm
蜡	vchr
厝	vchr
螨	vchr
蜡烛	vchv
蟒	vcqc
蟆	vcrd
蜞	vcsb
蠛	vcsd
厮	vcsj
蝾	vctm
蠓	vctn
厨师	vdap
厨	vdcp
蚪	vddo
厨房	vddo
轫	vddt
戍	vdgd
蚁	vdid
螂	vdie
蟓	vdkn
轺	vdkt
蝙	vdoc
蝰	vdtt
蟾	vdvy
厨子	vdzw
较	ve
转业	veaa
转战	veah
转盘	veam
轩	veat
转送	vebe
螃	vebf
较	vebi
蛟	vebi
转账	vebv
较大	vedh
较为	vedl
转为	vedl
转达	vedz
转变	veea
转弯	veea
转交	veeb
转动	vees
转运	vees
转告	vefa
辱	vegc
唇	vegk
较强	vegk
较弱	vegl
辰	vegn
辄	vegt
蜃	vegv
转炉	vehd
转速	vehk
转而	vehp
螭	veis
辱骂	vekk
转眼	vemi
转机	vemj
较好	venz
转换	veod
转折	veoj
转播	veop
转身	veop
长远利益	vepb
转向	vepk
转移	vepm
转入	vepn
蚨	verd
较量	verh
转化	verq
辙	vesw
较坏	veth
转轴	vevk
转	vewd
虻	vewd
蟀	vewo
转发	vewp
较小	vexg
较少	vexp
较多	vexx
转让	veya
转子	vezw
蚱	vfae
蜘	vfdk
轶	vfdt
蝣	vffz
虼	vfgd
蝮	vfrw
蜘蛛	vfvn
成	vg
轻工业	vgaa
顾虑	vgah
轻工业部	vgal
蠊	vgbb
成分	vgbd
成败	vgbw
虬	vgd
虹	vgdh
成套	vgdh
盛大	vgdh
成为	vgdl
成交	vgeb
成效	vgeb
成就	vgek
成熟	vgek
成规	vger
成天	vger
成年	vgfh
轧制	vgfh
顾	vggb
成	vggd
成功	vggl
盛	vggm
厄	vggp
盛夏	vghp
螗	vgik
成群	vgik
成绩	vgjh
成员	vgkb
成型	vgkd
成因	vgkd
盛开	vgkh
成品	vgkk
成见	vgkp
虹吸	vgkp
蚓	vgld
成立	vgld
盛况	vglk
盛产	vglp
成本	vgmh
成材	vgmh
轧机	vgmj
顾问	vgmk
成批	vgob
戊	vgpd
盛行	vgpr
盛会	vgre
成倍	vgrl
成果	vgrm
成人	vgrp
成全	vgrw
顾全	vgrw
成活	vgsp
轧染	vgsp
轧	vgt
成都	vgtp
成虫	vgva
成长	vgvp
轧辊	vgvr
辘	vgwb
成心	vgxd
盛情	vgxh
成名	vgxk
顾客	vgxw
成语	vgyh
厂	vh
感受	vhat
咸菜	vhca
感觉	vhdb
车刀	vhdg
厂房	vhdo
感触	vhdu
威武	vhea
厂商	vheb
威望	vheg
车队	vher
咸阳	vher
感动	vhes
感知	vhfd
感生	vhft
戌	vhgd
轼	vhgd
感应	vhgd
蛲	vhge
车工	vhgh
车床	vhgm
厅	vhgp
车库	vhgv
威严	vhha
车灯	vhhh
车速	vhhk
威逼	vhhk
感到	vhhs
威风	vhji
咸	vhkd
蜮	vhkd
轲	vhkg
蚵	vhkg
辆	vhkr
螬	vhkr
辅助	vhks
辐	vhkt
蝠	vhkt
感	vhkx
感叹	vhky
车站	vhla
威力	vhlg
车次	vhlq
车门	vhmd
厦门	vhmd
感想	vhmm
车间	vhmr
威	vhnd
车把	vhob
辐射	vhoc
厂矿	vhog
车祸	vhok
车身	vhop
厂	vhp
车牌	vhpa
厉	vhpg
励	vhpl
厦	vhpw
轻而易举	vhrd
感冒	vhrm
感人	vhrp
蟪	vhrx
威信	vhry
感激	vhsb
辅导	vhsc
感染	vhsp
轾	vhst
蛭	vhst
厂址	vhta
辅	vhud
威胁	vhul
蚜虫	vhva
车辆	vhvh
车厢	vhvm
厂长	vhvp
车轮	vhvr
车	vhwh
蚜	vhwp
感性	vhxf
厂家	vhxh
感光	vhxh
感情	vhxh
感慨	vhxi
车票	vhxo
厉害	vhxs
感官	vhxw
感谢	vhyo
厂子	vhzw
车子	vhzw
厩	vi
厩	vigg
暂	vj
螋	vjay
虮	vjdg
暂缓	vjja
錾	vjjt
暂且	vjks
椠	vjmt
连锁反应	vjpg
暂行	vjpr
暂时	vjrc
暂停	vjre
暂	vjrt
斩	vjta
堑	vjtt
暂定	vjxh
轴	vk
軎	vkah
轴箱	vkam
轵	vkbt
辋	vkbw
蛐	vkch
轴套	vkdh
蜈	vker
辑	vket
成品率	vkew
轴瓦	vkhg
轴线	vkje
历史唯物主义	vkkd
历史唯心主义	vkkd
蛔	vkkh
蜗	vkkr
轴	vkoh
蚰	vkoh
蜗牛	vkow
蚬	vkpg
蚋	vkrd
蝇	vkrg
蛆	vksd
蚺	vktd
蝈	vkwh
轴心	vkxd
轴承	vkze
历	vl
历年	vlfh
历来	vlhb
历史	vlki
历次	vllq
历程	vlpm
历	vlpp
历时	vlrc
历代	vlrh
蟑	vlro
历法	vlst
历历	vlvl
蚝	vmdg
蛊	vmdh
蚂	vmdh
蜥	vmjd
成本核算	vmma
厢	vmmp
蠼	vmmy
蚂蚁	vmvd
蚂蚱	vmvf
蛛	vn
蛛	vnbd
辗	vo
辗	vocn
蟛	vodp
蛄	vokd
蝻	voko
轱	vokt
蝴	voku
轻描淡写	vost
蝴蝶	vovc
辗转	vove
长	vp
舆	vpab
长篇	vpad
蚯	vpag
成千上万	vpah
蜒	vpaz
轷	vpbg
轨道	vpbh
蟠	vpbt
蟋	vpbx
长期	vpcs
轿	vpda
长大	vpdh
长久	vpdn
长远	vpee
轨迹	vpep
长短	vpfd
长年	vpfh
长度	vpgc
长工	vpgh
蜩	vpgk
轨	vpgt
长	vphg
轻重缓急	vpjd
长跑	vpka
蜊	vpmd
蝌	vpmo
螅	vpmx
长存	vpoa
蛾	vpod
蛞	vpok
长势	vpop
蜓	vpoz
长征	vppr
长途	vpre
长波	vpsg
长江	vpsg
长春	vpsr
长沙	vpsx
长城	vptv
蟋蟀	vpve
长虹	vpvg
蚯蚓	vpvg
轿车	vpvh
长处	vpwa
轹	vpwx
长安	vpxn
舆论	vpyr
长子	vpzw
软	vq
软盘	vqam
魇	vqbs
软弱	vqgl
厌恶	vqha
靥	vqhh
厌烦	vqhh
软骨	vqkw
盛气凌人	vqlr
餍	vqop
厌	vqpd
厣	vqra
厌倦	vqrb
软件	vqrn
软化	vqrq
软	vqtn
轮	vr
赝	vrab
轮船	vraj
辊	vrbb
输送	vrbe
厘米	vrbm
轮	vrbt
厚薄	vrcs
蛉	vrdd
蜴	vrdp
蝎	vrdw
蜍	vrex
厚度	vrgc
轮廓	vrge
输	vrhd
蝓	vrhd
蛤	vrhk
蜾	vrmd
轮机	vrmj
轮换	vrod
蚧	vrpa
厘升	vrpc
仄	vrpn
输入	vrpn
轸	vrpp
轮作	vrrf
输电	vrrg
轮流	vrse
厘	vrtp
轮胎	vrus
轮轴	vrvk
输出	vrwa
辁	vrwt
轮训	vryp
厚	vrzp
轮子	vrzw
蚌	vs
蚌	vsad
长春市	vsej
长沙市	vsej
蛑	vsnd
辏	vsrd
螓	vsrm
蝽	vsrr
压	vt
压迫	vtbz
压	vtdp
成都市	vtej
螺旋	vtff
压制	vtfh
压强	vtgk
螺	vtjd
螺钉	vtjh
螺帽	vtjr
螺纹	vtjw
压缩	vtjx
螺距	vtka
辕	vtki
压力	vtlg
螺栓	vtmr
螺母	vtmw
压榨	vtmx
压抑	vtop
螟	vtrb
压倒	vtrh
压低	vtrp
蛙	vttd
螺丝	vtww
蠕	vu
蠕动	vues
蠕	vuha
螈	vvbx
轭	vvgg
蛎	vvhg
轰轰烈烈	vvhh
厍	vvpa
轻	vw
墼	vwat
轻蔑	vwcs
轻	vwdg
蚊	vwdn
蛹	vwdo
轻率	vwew
轻工	vwgh
轻巧	vwgh
臧	vwhd
蜂群	vwik
辂	vwkt
轻松	vwmb
轻声	vwoh
轻视	vwok
蜂拥	vwou
蛴	vwpa
轻重	vwph
轻微	vwpr
轻易	vwrd
轻便	vwrh
轻信	vwry
蜂	vwsa
蚴	vwsl
轻轻	vwvw
蜂王	vwwh
辎	vwwt
蜂蜜	vwxd
轻快	vwxw
蚊子	vwzw
蛇	vx
蛇	vxbd
螵	vxod
辖	vxsk
顾名思义	vxtd
螳	vxtt
蛸	vxud
蜿蜒	vxvp
蜿	vxxg
感性认识	vxyy
轰	vy
蟮	vybk
蛘	vyda
轰击	vyeo
轰动	vyes
轰炸	vyhf
蛏	vytd
轰	vyya
辍	vyyy
连	vzan
连队	vzer
连夜	vzer
连年	vzfh
连绵	vzjb
连续	vzjo
连锁	vzjx
连同	vzkh
蜢	vzmd
连杆	vzme
连声	vzoh
连接	vzol
连日	vzra
原子能	vzsu
连累	vztj
连长	vzvp
连连	vzvz
连贯	vzww
连心	vzxd
连忙	vzxe
为	w
处	wa
凵	wa
屮	waa
璞	waad
出售	waak
出师	waap
蚩	waav
处分	wabd
出勤	wach
出世	wach
处世	wach
疏散	wach
出色	wadb
出头	wadd
眉头	wadd
出奇	wadh
咎	wadk
处	wadn
疏忽	wadp
昝	wadr
疏远	waee
疏	waeg
出于	waeg
处于	waeg
出击	waeo
出动	waes
出院	waex
瑗	waey
瑶	waft
出生	waft
出席	wagc
出工	wagh
出庭	wagp
出来	wahb
奘	wahd
戕	wahg
琥	wahj
玷	wahk
出事	wahk
眉	wahm
璨	wahm
璩	wahn
鹛	wahn
爿	wahp
出面	wahp
处死	wahx
出错	wajc
出纳	wajk
出口	waka
出路	waka
出品	wakk
出国	wakw
出力	walg
出产	walp
处决	walw
眉目	wama
疏松	wamb
出门	wamd
眉毛	wamp
出马	wamw
出嫁	wanx
出	wao
出卖	waog
粜	waom
祟	waoo
出身	waop
出手	waop
出神	waor
出版	wapa
出兵	wapa
出乎	wapb
出息	wapm
出血	wapm
出租	wapm
出入	wapn
处所	wapp
出气	waqp
出任	warp
弄虚作假	warr
齑	wasa
玷污	wase
出海	wasf
疏水	wasg
出没	wasj
处置	waso
处罚	wasy
出场	watg
出土	wath
出境	watl
处境	watl
出去	wats
瑷	waty
出厂	wavh
处长	wavp
处处	wawa
疏通	wawd
出现	wawk
出发	wawp
处理	wawr
出家	waxh
出名	waxk
出差	wayg
出走	wazh
碧	wb
璎	wbbn
玢	wbdt
瑰丽	wbhk
碧绿	wbjw
碧	wbot
瑰	wbps
各单位	wbrl
碧波	wbsg
珀	wbth
弄	wc
弄	wcha
珙	wchb
璜	wchb
瑾	wcht
瑛	wckd
琪	wcsb
弄清	wcsh
文	wd
通航	wdae
文集	wdam
预算	wdam
齐头并进	wdbe
柔道	wdbh
通道	wdbh
玉米	wdbm
预料	wdbm
文艺	wdcg
预期	wdcs
通过	wdcz
文学	wddb
劲头	wddd
矛头	wddd
刘	wddg
冬	wddn
螽	wddv
登陆	wdee
预防	wdef
勇于	wdeg
冬天	wder
文盲	wdew
玩忽职守	wdex
通告	wdfa
文告	wdfa
预告	wdfa
预先	wdfa
预选	wdfa
通知	wdfd
预制	wdfh
颈	wdgb
预	wdgb
刭	wdgd
予以	wdgd
予	wdgg
巯	wdgg
鍪	wdgj
劲	wdgl
柔	wdgm
骛	wdgm
瞀	wdgm
豫	wdgn
婺	wdgn
鹜	wdgn
鹬	wdgn
矛	wdgp
蝥	wdgv
蟊	wdgv
矜	wdgw
迳	wdgz
玉	wdh
琦	wdhg
柔韧	wdhh
文	wdhp
文雅	wdhw
琅	wdin
预约	wdjd
通红	wdjg
通风	wdji
文风	wdji
班组	wdjk
班级	wdjp
通路	wdka
文史	wdki
预见	wdkp
文具	wdks
班次	wdlq
文章	wdlr
班机	wdmj
预想	wdmm
文物	wdnd
玖	wdnt
登山	wdoa
登报	wdoe
通报	wdoe
预报	wdoe
勇士	wdoh
玉石	wdoh
预示	wdoh
文献	wdok
预祝	wdok
预热	wdop
通顺	wdpa
登	wdpd
癸	wdpd
凳	wdpj
预兆	wdpl
冬季	wdpm
柔和	wdpm
通称	wdpm
冬瓜	wdpp
矛盾	wdpp
通往	wdpr
通行	wdpr
班	wdpw
通气	wdqp
勇气	wdqp
勇猛	wdqx
通畅	wdra
通俗	wdrb
通电	wdrg
文体	wdrm
文件	wdrn
文凭	wdrp
文人	wdrp
文化	wdrq
文明	wdru
通信	wdry
预测	wdsb
登台	wdsk
文法	wdst
各大军区	wdth
文教	wdtp
登载	wdtv
甬	wdua
通用	wdua
勇	wdul
恿	wdux
通	wduz
班车	wdvh
通车	wdvh
预感	wdvh
班长	wdvp
柔软	wdvq
登录	wdwe
勇敢	wdwe
文书	wdwg
预备	wdwt
预定	wdxh
通常	wdxt
文字	wdxz
预谋	wdyc
文言	wdyd
预言	wdyd
通讯	wdyg
预订	wdyh
登记	wdyj
预计	wdyo
班子	wdzw
凳子	wdzw
敢	we
赟	weab
斌	wead
民主集中制	weaf
玩笑	weap
玩艺	wecg
剥夺	wedc
敢于	weeg
玩	weet
录取	weey
剥	wegd
录	wegn
逯	wegz
玩耍	wehp
璃	weis
幼儿园	weke
玩具	weks
琼	wekx
录音	welr
发动机	wemj
敢想	wemm
这就是说	wery
琉	wesg
珥	weth
敢	wew
玩弄	wewc
憨	wewx
民主党派	wexs
剥削	wexu
瓒	wfab
璇	wffr
了	wg
书	wgad
书桌	wgah
书籍	wgas
函数	wgbm
预收账款	wgbo
眉飞色舞	wgdf
书房	wgdo
书包	wgds
了解	wgdu
书刊	wgea
了望	wgeg
书店	wgga
书面	wghp
瑭	wgik
亟	wgkh
函	wgla
书目	wgma
书本	wgmh
辽阔	wgms
孓	wgn
毋	wgo
函授	wgoa
书报	wgoe
玻	wgpy
书信	wgry
书法	wgst
孑	wgt
书写	wgth
玻璃	wgwe
辽宁	wgxh
书记	wgyj
辽	wgz
已	wh
民航	whae
遐	whaz
王爷	whbi
王公	whbs
民警	whcd
环节	whcg
球队	wher
民主	whet
已知	whfd
民族	whff
民生	whft
已	whg
球	whgd
民	whgg
民工	whgh
琢磨	whgm
玎	whgt
愍	whgx
王	whha
玮	whha
民政	whha
民歌	whhk
民事	whhk
球面	whhp
琰	whht
条约	whjd
环绕	whjh
条纹	whjw
已经	whjw
珂	whkg
环形	whkp
球形	whkp
民国	whkw
王国	whkw
球状	whla
民办	whlb
民政部	whlk
民意	whlr
条目	whma
球门	whmd
民间	whmr
民权	whmy
王权	whmy
环抱	whod
环视	whok
王朝	whor
条款	whos
斋	whpa
民兵	whpa
顼	whpb
琢	whpn
环	whrd
理事会	whre
条例	whrh
环保	whrk
球果	whrm
球体	whrm
条件	whrn
民众	whrr
环流	whse
民法	whst
环境	whtl
民用	whua
环顾	whvg
条文	whwd
琊	whwe
环球	whwh
各式各样	whwm
条理	whwr
逄	whwz
民心	whxd
条	whxn
条子	whzw
王子	whzw
紊	wj
紊	wjnd
紊乱	wjpo
各级领导	wjrs
玑	wjtg
各级党委	wjxp
现	wk
雒	wkad
璐	wkak
各类	wkbm
现象	wkdk
各族	wkff
各项	wkgh
各级	wkjp
现金	wkjp
各国	wkkw
现状	wkla
眉开眼笑	wkma
各样	wkmy
各	wknh
吝	wknh
现存	wkoa
现在	wkoa
现有	wkou
现	wkpg
各种	wkpm
各自	wkpm
现行	wkpr
现时	wkrc
现今	wkrd
现代	wkrh
各位	wkrl
各地	wktg
现场	wktg
髅	wktn
各界	wktr
现成	wkvg
各处	wkwa
现实	wkxd
务	wl
务必	wldg
翠绿	wljw
珈	wlkt
务	wlnp
璋	wlro
民意测验	wlsm
翟	wlwa
翼	wlwb
羿	wlwc
戳	wlwg
戮	wlwg
翌	wlwl
鹨	wlwn
翠	wlwo
戳穿	wlxh
琳	wm
斓	wmhb
琳	wmmt
玛	wmth
